player_name,player_position_id,rank_ecr,pos_rank,projected_points,salary
joeburrow,QB,2,QB2,20.8,6800.0
dakprescott,QB,3,QB3,19.9,6700.0
lamarjackson,QB,4,QB4,18.7,8000.0
justinherbert,QB,5,QB5,18.2,7700.0
jaredgoff,QB,6,QB6,17.8,6400.0
c.j.stroud,QB,7,QB7,17.4,6900.0
brockpurdy,QB,8,QB8,17.1,5700.0
genosmith,QB,9,QB9,16.9,5800.0
samhowell,QB,10,QB10,16.6,5900.0
trevorlawrence,QB,11,QB11,16.4,6000.0
kylermurray,QB,12,QB12,16.2,5900.0
bakermayfield,QB,13,QB13,15.9,5100.0
joshuadobbs,QB,15,QB15,15.4,5500.0
derekcarr,QB,16,QB16,15.1,5800.0
taylorheinicke,QB,17,QB17,14.9,5100.0
willlevis,QB,18,QB18,14.7,5300.0
jordanlove,QB,21,QB21,14.3,5600.0
deshaunwatson,QB,22,QB22,14.0,5400.0
kennypickett,QB,25,QB25,13.1,4900.0
tommydevito,QB,28,QB28,11.5,4700.0
malikwillis,QB,29,QB29,0.0,4700.0
desmondridder,QB,30,QB30,0.0,4700.0
claytontune,QB,31,QB31,0.0,4800.0
p.j.walker,QB,32,QB32,0.0,4500.0
mitchtrubisky,QB,33,QB33,0.0,4700.0
christianmccaffrey,RB,1,RB1,21.5,9200.0
austinekeler,RB,2,RB2,18.5,8400.0
alvinkamara,RB,4,RB4,17.1,8300.0
travisetiennejr.,RB,5,RB5,16.8,7100.0
tonypollard,RB,7,RB7,15.8,7300.0
joemixon,RB,8,RB8,15.7,6200.0
bijanrobinson,RB,10,RB10,15.5,6000.0
derrickhenry,RB,11,RB11,15.2,7400.0
aaronjones,RB,12,RB12,15.1,6500.0
saquonbarkley,RB,13,RB13,14.3,7700.0
rachaadwhite,RB,14,RB14,14.0,5800.0
kennethwalker,RB,15,RB15,13.9,6800.0
jahmyrgibbs,RB,18,RB18,12.8,7000.0
davidmontgomery,RB,19,RB19,12.7,6900.0
najeeharris,RB,21,RB21,12.4,4900.0
alexandermattison,RB,22,RB22,12.2,5500.0
jamesconner,RB,25,RB25,11.4,5900.0
jaylenwarren,RB,26,RB26,11.3,5000.0
devinsingletary,RB,27,RB27,11.0,4700.0
brianrobinsonjr.,RB,28,RB28,10.6,5400.0
jeromeford,RB,29,RB29,10.4,5300.0
kareemhunt,RB,30,RB30,9.8,5100.0
tylerallgeier,RB,31,RB31,8.5,4700.0
gusedwards,RB,32,RB32,8.0,6100.0
zachcharbonnet,RB,33,RB33,7.9,4200.0
tyjaespears,RB,34,RB34,7.7,4500.0
antoniogibson,RB,37,RB37,7.3,4600.0
ajdillon,RB,38,RB38,7.0,4600.0
justicehill,RB,40,RB40,6.3,4500.0
keatonmitchell,RB,41,RB41,6.2,4700.0
ricodowdle,RB,45,RB45,5.3,4300.0
jamaalwilliams,RB,46,RB46,5.2,4300.0
joshuakelley,RB,47,RB47,5.1,4800.0
keaontayingram,RB,49,RB49,4.2,4500.0
mikeboone,RB,50,RB50,4.1,4000.0
tychandler,RB,51,RB51,4.1,4000.0
chaseedmonds,RB,52,RB52,3.9,4300.0
elijahmitchell,RB,53,RB53,3.8,4300.0
mattbreida,RB,57,RB57,3.0,4200.0
cordarrellepatterson,RB,58,RB58,2.8,4200.0
tankbigsby,RB,60,RB60,2.7,4200.0
pierrestrongjr.,RB,62,RB62,2.4,4000.0
trayveonwilliams,RB,63,RB63,2.2,4700.0
