player_name,player_position_id,rank_ecr,pos_rank,projected_points,salary
jalenhurts,QB,1,QB1,22.3,8300.0
joshallen,QB,4,QB4,20.6,8100.0
patrickmahomes,QB,5,QB5,19.9,8200.0
c.j.stroud,QB,6,QB6,19.2,7700.0
kylermurray,QB,8,QB8,18.1,6900.0
trevorlawrence,QB,11,QB11,17.4,6400.0
bakermayfield,QB,16,QB16,15.9,5500.0
gardnerminshew,QB,18,QB18,15.2,5100.0
matthewstafford,QB,19,QB19,14.9,6300.0
derekcarr,QB,20,QB20,14.7,5800.0
russellwilson,QB,21,QB21,14.5,5400.0
desmondridder,QB,23,QB23,14.2,4800.0
willlevis,QB,24,QB24,14.0,5300.0
kennypickett,QB,25,QB25,13.7,4800.0
jakebrowning,QB,26,QB26,13.4,5200.0
dorianthompson-robinson,QB,27,QB27,13.2,4900.0
bryceyoung,QB,28,QB28,12.8,4900.0
macjones,QB,29,QB29,12.5,5100.0
tommydevito,QB,30,QB30,12.1,5200.0
aidano'connell,QB,31,QB31,11.7,5000.0
baileyzappe,QB,33,QB33,0.0,4400.0
jameiswinston,QB,35,QB35,0.0,4900.0
p.j.walker,QB,37,QB37,0.0,4700.0
claytontune,QB,38,QB38,0.0,4700.0
travisetiennejr.,RB,3,RB3,17.8,7100.0
alvinkamara,RB,4,RB4,17.4,8400.0
jonathantaylor,RB,5,RB5,16.6,6900.0
d'andreswift,RB,8,RB8,16.1,6800.0
saquonbarkley,RB,9,RB9,15.5,7300.0
derrickhenry,RB,10,RB10,15.1,6400.0
rachaadwhite,RB,11,RB11,14.9,6100.0
joshjacobs,RB,13,RB13,14.8,6700.0
isiahpacheco,RB,14,RB14,14.5,6200.0
bijanrobinson,RB,15,RB15,14.5,6500.0
kyrenwilliams,RB,17,RB17,14.1,6600.0
rhamondrestevenson,RB,19,RB19,13.7,5800.0
joemixon,RB,20,RB20,13.5,6300.0
jamesconner,RB,21,RB21,13.5,5900.0
javontewilliams,RB,22,RB22,13.4,5700.0
jaylenwarren,RB,24,RB24,13.0,5400.0
jeromeford,RB,25,RB25,13.0,5600.0
