player_name,player_team_id,player_position_id,rank_ecr,pos_rank,projected_points,salary
dakprescott,DAL,QB,1,QB1,22.3,8000.0
justinfields,CHI,QB,3,QB3,20.0,7200.0
jalenhurts,PHI,QB,4,QB4,19.1,8100.0
kylermurray,ARI,QB,6,QB6,18.0,6400.0
genosmith,SEA,QB,7,QB7,17.6,6100.0
jordanlove,GB,QB,8,QB8,17.3,6600.0
trevorlawrence,JAC,QB,10,QB10,16.6,6800.0
jaredgoff,DET,QB,11,QB11,16.3,6700.0
jakebrowning,CIN,QB,13,QB13,15.8,5700.0
nickmullens,MIN,QB,14,QB14,15.5,5100.0
derekcarr,NO,QB,15,QB15,15.3,5600.0
bakermayfield,TB,QB,16,QB16,15.1,6200.0
tyrodtaylor,NYG,QB,17,QB17,14.9,5300.0
eastonstick,LAC,QB,18,QB18,14.6,5000.0
jarrettstidham,DEN,QB,19,QB19,14.5,4900.0
samdarnold,SF,QB,20,QB20,14.4,5200.0
samhowell,WAS,QB,21,QB21,14.2,5200.0
aidano'connell,LV,QB,22,QB22,14.2,5400.0
bryceyoung,CAR,QB,25,QB25,13.7,4800.0
carsonwentz,LAR,QB,26,QB26,13.6,4500.0
blainegabbert,KC,QB,27,QB27,13.2,4800.0
jeffdriskel,CLE,QB,28,QB28,12.9,4000.0
ryantannehill,TEN,QB,29,QB29,12.5,4800.0
baileyzappe,NE,QB,30,QB30,11.9,4700.0
trevorsiemian,NYJ,QB,31,QB31,11.4,4900.0
willlevis,TEN,QB,32,QB32,10.7,5000.0
desmondridder,ATL,QB,33,QB33,0.0,4800.0
joeflacco,CLE,QB,34,QB34,1.6,6500.0
brockpurdy,SF,QB,35,QB35,0.0,6900.0
marcusmariota,PHI,QB,36,QB36,0.0,4700.0
c.j.beathard,JAC,QB,37,QB37,0.0,4900.0
teddybridgewater,DET,QB,38,QB38,0.0,4400.0
malikwillis,TEN,QB,40,QB40,0.0,4500.0
rachaadwhite,TB,RB,1,RB1,16.6,7600.0
jamesconner,ARI,RB,3,RB3,16.3,6100.0
kennethwalker,SEA,RB,5,RB5,15.6,6500.0
travisetiennejr.,JAC,RB,6,RB6,15.4,7300.0
zamirwhite,LV,RB,7,RB7,15.4,6000.0
bijanrobinson,ATL,RB,8,RB8,15.4,6600.0
breecehall,NYJ,RB,9,RB9,14.8,7200.0
saquonbarkley,NYG,RB,10,RB10,14.6,6900.0
tonypollard,DAL,RB,11,RB11,14.6,6500.0
jahmyrgibbs,DET,RB,12,RB12,14.5,6700.0
aaronjones,GB,RB,13,RB13,14.4,6300.0
d'andreswift,PHI,RB,15,RB15,14.2,6800.0
austinekeler,LAC,RB,17,RB17,13.6,6600.0
joemixon,CIN,RB,18,RB18,13.6,6300.0
ezekielelliott,NE,RB,19,RB19,12.9,5900.0
derrickhenry,TEN,RB,20,RB20,12.7,6400.0
chubahubbard,CAR,RB,21,RB21,12.5,5500.0
tychandler,MIN,RB,22,RB22,12.5,5600.0
davidmontgomery,DET,RB,23,RB23,12.3,6400.0
khalilherbert,CHI,RB,24,RB24,12.1,5700.0
jordanmason,SF,RB,26,RB26,11.8,4600.0
javontewilliams,DEN,RB,28,RB28,11.3,5300.0
pierrestrongjr.,CLE,RB,29,RB29,11.0,4000.0
brianrobinsonjr.,WAS,RB,30,RB30,11.0,5400.0
tyjaespears,TEN,RB,31,RB31,10.4,4600.0
jamaalwilliams,NO,RB,32,RB32,10.2,5200.0
antoniogibson,WAS,RB,33,RB33,10.4,4800.0
