player_name,player_team_id,player_position_id,rank_ecr,pos_rank,projected_points,salary
nelsonagholor,BAL,WR,113,WR113,1.7,3000.0
deonteharty,BUF,WR,114,WR114,3.8,3300.0
treypalmer,TB,WR,115,WR115,4.2,3400.0
kylephilips,TEN,WR,116,WR116,0.0,3000.0
noahbrown,HOU,WR,118,WR118,0.0,3000.0
trentsherfield,BUF,WR,123,WR123,2.7,3000.0
kalifraymond,DET,WR,125,WR125,5.1,3200.0
xavierhutchinson,HOU,WR,127,WR127,1.0,3000.0
tylerscott,CHI,WR,128,WR128,1.5,3000.0
justinwatson,KC,WR,130,WR130,3.0,3300.0
chrismoore,TEN,WR,134,WR134,3.6,3000.0
jamalagnew,JAC,WR,136,WR136,3.0,3000.0
marquezcallaway,LV,WR,138,WR138,0.2,3000.0
charliejones,CIN,WR,139,WR139,1.0,3000.0
samoritoure,GB,WR,141,WR141,5.0,3000.0
deandrecarter,LV,WR,143,WR143,1.1,3400.0
velusjonesjr.,CHI,WR,144,WR144,0.0,3000.0
trentonirwin,CIN,WR,146,WR146,2.3,3000.0
parkerwashington,JAC,WR,148,WR148,0.0,3000.0
dontayvionwicks,GB,WR,149,WR149,3.0,3000.0
khadarelhodge,ATL,WR,150,WR150,2.3,3000.0
deventhompkins,TB,WR,151,WR151,2.9,3000.0
andreiiosivas,CIN,WR,153,WR153,0.6,3000.0
equanimeousst.brown,CHI,WR,159,WR159,0.0,3000.0
tretucker,LV,WR,161,WR161,0.0,3000.0
rakimjarrett,TB,WR,162,WR162,2.0,3000.0
jalenguyton,LAC,WR,164,WR164,0.0,3000.0
justinshorter,BUF,WR,166,WR166,0.0,3000.0
deriusdavis,LAC,WR,167,WR167,0.8,3000.0
deeeskridge,SEA,WR,169,WR169,0.9,3000.0
malikheath,GB,WR,170,WR170,2.4,3000.0
tylanwallace,BAL,WR,175,WR175,0.5,3000.0
timjones,JAC,WR,177,WR177,0.5,3000.0
darekeyoung,SEA,WR,178,WR178,0.3,3000.0
jakebobo,SEA,WR,183,WR183,1.0,3000.0
antoinegreen,DET,WR,187,WR187,1.3,3000.0
davidmoore,TB,WR,189,WR189,0.0,3000.0
kristianwilkerson,LV,WR,190,WR190,0.7,3000.0
trenttaylor,CHI,WR,191,WR191,0.4,3000.0
joshali,ATL,WR,194,WR194,0.0,3000.0
coltondowell,TEN,WR,199,WR199,0.0,3000.0
codythompson,SEA,WR,200,WR200,0.9,3000.0
stevensimsjr.,HOU,WR,202,WR202,0.0,3000.0
amarirodgers,IND,WR,205,WR205,0.0,3000.0
raceymcmath,IND,WR,207,WR207,0.1,3000.0
montrellwashington,KC,WR,211,WR211,0.1,3000.0
elijahcooks,JAC,WR,213,WR213,0.0,3000.0
laquontreadwell,BAL,WR,214,WR214,0.0,3000.0
andyisabella,BUF,WR,217,WR217,0.0,3000.0
keelancolesr.,LV,WR,218,WR218,0.2,3000.0
kearisjackson,TEN,WR,219,WR219,0.7,3000.0
d.j.montgomery,IND,WR,220,WR220,0.0,3000.0
bomelton,GB,WR,221,WR221,0.0,3000.0
lancemccutcheon,HOU,WR,225,WR225,0.0,3000.0
alexerickson,LAC,WR,232,WR232,0.0,3000.0
juwannwinfree,IND,WR,247,WR247,0.5,3000.0
dylandrummond,DET,WR,248,WR248,0.0,3000.0
masonkinsey,TEN,WR,262,WR262,0.0,3000.0
markandrews,BAL,TE,1,TE1,5.3,6300.0
traviskelce,KC,TE,2,TE2,3.3,7600.0
kylepitts,ATL,TE,7,TE7,10.1,4200.0
evanengram,JAC,TE,8,TE8,9.6,4800.0
daltonschultz,HOU,TE,12,TE12,8.7,4000.0
daltonkincaid,BUF,TE,14,TE14,7.3,3300.0
geraldeverett,LAC,TE,15,TE15,7.9,4100.0
colekmet,CHI,TE,16,TE16,7.6,4400.0
samlaporta,DET,TE,19,TE19,7.1,3900.0
irvsmithjr.,CIN,TE,21,TE21,6.8,3200.0
dawsonknox,BUF,TE,23,TE23,5.8,3100.0
noahfant,SEA,TE,26,TE26,6.6,2900.0
michaelmayer,LV,TE,27,TE27,4.0,2700.0
lukemusgrave,GB,TE,29,TE29,7.0,3200.0
cadeotton,TB,TE,31,TE31,7.1,3100.0
isaiahlikely,BAL,TE,33,TE33,8.4,3200.0
jelaniwoods,IND,TE,35,TE35,0.0,2500.0
austinhooper,LV,TE,37,TE37,5.2,2800.0
jonnusmith,ATL,TE,41,TE41,2.4,2500.0
roberttonyan,CHI,TE,42,TE42,2.5,2700.0
noahgray,KC,TE,43,TE43,6.1,3400.0
donaldparhamjr.,LAC,TE,49,TE49,3.1,2900.0
willdissly,SEA,TE,50,TE50,3.2,2800.0
moalie-cox,IND,TE,51,TE51,3.8,2500.0
tuckerkraft,GB,TE,52,TE52,2.4,2500.0
kylengranson,IND,TE,53,TE53,4.2,3000.0
brevinjordan,HOU,TE,55,TE55,1.7,2500.0
brockwright,DET,TE,58,TE58,2.7,2700.0
colbyparkinson,SEA,TE,61,TE61,1.8,2500.0
brentonstrange,JAC,TE,62,TE62,2.3,2500.0
jamesmitchell,DET,TE,65,TE65,1.3,2500.0
josiahdeguara,GB,TE,69,TE69,2.4,2500.0
teaganquitoriano,HOU,TE,71,TE71,2.2,2500.0
tre'mckitty,LAC,TE,72,TE72,1.4,2500.0
joshwhyle,TEN,TE,73,TE73,1.3,2500.0
kokieft,TB,TE,74,TE74,1.8,2500.0
charliekolar,BAL,TE,75,TE75,3.4,2500.0
drewsample,CIN,TE,78,TE78,1.1,2500.0
paynedurham,TB,TE,80,TE80,1.5,2500.0
jodyfortson,KC,TE,81,TE81,0.2,2500.0
willmallory,IND,TE,83,TE83,0.6,2500.0
quintinmorris,BUF,TE,85,TE85,0.9,2500.0
blakebell,KC,TE,88,TE88,3.4,2700.0
trevonwesco,TEN,TE,90,TE90,1.6,2500.0
mycolepruitt,ATL,TE,92,TE92,0.4,2500.0
lukefarrell,JAC,TE,93,TE93,0.7,2500.0
jesperhorsted,LV,TE,95,TE95,0.8,2500.0
mitchellwilcox,CIN,TE,101,TE101,0.7,2500.0
marcedeslewis,CHI,TE,102,TE102,1.0,2500.0
shanezylstra,DET,TE,105,TE105,0.3,2500.0
stonesmartt,LAC,TE,107,TE107,0.8,2500.0
zachgentry,CIN,TE,109,TE109,0.1,2500.0
tylerdavis,GB,TE,110,TE110,0.7,2500.0
davidwells,TB,TE,111,TE111,1.7,2500.0
tannerhudson,CIN,TE,114,TE114,0.2,2500.0
johnfitzpatrick,ATL,TE,116,TE116,0.8,2500.0
andrewbeck,HOU,TE,121,TE121,1.0,4000.0
parkerhesse,ATL,TE,122,TE122,0.3,2500.0
bensims,GB,TE,124,TE124,0.9,2500.0
mattbushman,KC,TE,126,TE126,0.4,2500.0
kevinrader,TEN,TE,128,TE128,0.1,2500.0
jacobharris,JAC,TE,132,TE132,0.0,3000.0
bills,BUF,DST,4,DST4,5.9,3700.0
ravens,BAL,DST,7,DST7,8.1,2800.0
chiefs,KC,DST,11,DST11,5.5,3100.0
bengals,CIN,DST,15,DST15,6.4,3300.0
packers,GB,DST,16,DST16,7.2,3000.0
chargers,LAC,DST,17,DST17,6.1,3500.0
jaguars,JAC,DST,18,DST18,7.7,2500.0
buccaneers,TB,DST,19,DST19,6.4,3200.0
seahawks,SEA,DST,20,DST20,8.0,2900.0
colts,IND,DST,21,DST21,6.1,3400.0
titans,TEN,DST,23,DST23,5.9,2400.0
lions,DET,DST,25,DST25,5.5,3000.0
falcons,ATL,DST,28,DST28,7.3,2900.0
texans,HOU,DST,30,DST30,6.0,3600.0
bears,CHI,DST,31,DST31,5.7,2800.0
raiders,LV,DST,32,DST32,5.9,2200.0
