player_name,player_team_id,player_position_id,rank_ecr,pos_rank,projected_points,salary
patrickmahomes,KC,QB,1,QB1,23.8,8300.0
joshallen,BUF,QB,3,QB3,21.5,7900.0
lamarjackson,BAL,QB,4,QB4,22.7,7700.0
joeburrow,CIN,QB,5,QB5,20.1,6900.0
justinherbert,LAC,QB,6,QB6,20.4,7000.0
justinfields,CHI,QB,7,QB7,20.2,7600.0
trevorlawrence,JAC,QB,8,QB8,19.5,6700.0
genosmith,SEA,QB,14,QB14,19.2,5900.0
anthonyrichardson,IND,QB,15,QB15,18.3,6300.0
jaredgoff,DET,QB,17,QB17,16.9,6200.0
jordanlove,GB,QB,22,QB22,15.2,5500.0
ryantannehill,TEN,QB,26,QB26,14.1,5000.0
jimmygaroppolo,LV,QB,28,QB28,14.9,5300.0
c.j.stroud,HOU,QB,29,QB29,13.9,5200.0
desmondridder,ATL,QB,31,QB31,14.5,5000.0
bakermayfield,TB,QB,32,QB32,15.6,5100.0
willlevis,TEN,QB,34,QB34,0.1,4700.0
kyletrask,TB,QB,36,QB36,0.9,4500.0
taylorheinicke,ATL,QB,40,QB40,0.7,4700.0
gardnerminshew,IND,QB,41,QB41,0.4,5100.0
tylerhuntley,BAL,QB,44,QB44,0.4,4600.0
aidano'connell,LV,QB,46,QB46,0.2,4000.0
davismills,HOU,QB,49,QB49,0.2,4600.0
malikwillis,TEN,QB,52,QB52,0.4,4000.0
brianhoyer,LV,QB,56,QB56,0.9,4500.0
teddybridgewater,DET,QB,59,QB59,0.6,4600.0
drewlock,SEA,QB,60,QB60,0.5,4400.0
kyleallen,BUF,QB,61,QB61,0.5,4900.0
c.j.beathard,JAC,QB,63,QB63,0.5,4300.0
blainegabbert,KC,QB,64,QB64,0.6,4400.0
seanclifford,GB,QB,65,QB65,0.4,4400.0
tysonbagent,CHI,QB,66,QB66,0.1,4000.0
eastonstick,LAC,QB,68,QB68,0.5,4700.0
casekeenum,HOU,QB,71,QB71,0.0,4000.0
jakebrowning,CIN,QB,72,QB72,0.5,4400.0
hendonhooker,DET,QB,73,QB73,0.0,4000.0
samehlinger,IND,QB,82,QB82,0.0,4000.0
nathanpeterman,CHI,QB,85,QB85,0.0,4400.0
johnwolford,TB,QB,89,QB89,0.0,4000.0
feleipefranks,ATL,QB,90,QB90,0.4,2500.0
loganwoodside,ATL,QB,91,QB91,0.0,4000.0
willgrier,CIN,QB,93,QB93,0.0,4000.0
joshjohnson,BAL,QB,94,QB94,0.2,4600.0
davidblough,DET,QB,95,QB95,0.1,4000.0
chrisoladokun,KC,QB,100,QB100,0.0,4000.0
shanebuechele,BUF,QB,101,QB101,0.0,4000.0
austinekeler,LAC,RB,2,RB2,19.2,8700.0
bijanrobinson,ATL,RB,4,RB4,17.7,7900.0
joshjacobs,LV,RB,7,RB7,16.0,7100.0
derrickhenry,TEN,RB,8,RB8,15.9,7400.0
joemixon,CIN,RB,10,RB10,15.3,6500.0
jahmyrgibbs,DET,RB,11,RB11,13.4,6300.0
travisetiennejr.,JAC,RB,13,RB13,14.1,6900.0
aaronjones,GB,RB,14,RB14,14.9,6600.0
dameonpierce,HOU,RB,16,RB16,13.1,5600.0
kennethwalker,SEA,RB,17,RB17,13.6,5800.0
j.k.dobbins,BAL,RB,20,RB20,0.0,4000.0
rachaadwhite,TB,RB,21,RB21,13.3,5500.0
jamescook,BUF,RB,23,RB23,10.7,6100.0
davidmontgomery,DET,RB,27,RB27,12.0,5800.0
jonathantaylor,IND,RB,28,RB28,0.0,4000.0
isiahpacheco,KC,RB,30,RB30,11.7,5700.0
khalilherbert,CHI,RB,33,RB33,10.9,5400.0
ajdillon,GB,RB,34,RB34,9.4,5900.0
zachcharbonnet,SEA,RB,37,RB37,6.8,4500.0
jerickmckinnon,KC,RB,38,RB38,10.3,4600.0
damienharris,BUF,RB,44,RB44,5.7,5400.0
tankbigsby,JAC,RB,47,RB47,6.0,4700.0
tylerallgeier,ATL,RB,48,RB48,8.0,5500.0
devinsingletary,HOU,RB,50,RB50,6.4,4700.0
roschonjohnson,CHI,RB,51,RB51,3.8,4900.0
tyjaespears,TEN,RB,54,RB54,4.4,4600.0
gusedwards,BAL,RB,56,RB56,5.3,5300.0
d'ontaforeman,CHI,RB,57,RB57,4.7,4600.0
clydeedwards-helaire,KC,RB,58,RB58,4.5,4300.0
joshuakelley,LAC,RB,60,RB60,4.8,5000.0
zamirwhite,LV,RB,61,RB61,3.1,4400.0
cordarrellepatterson,ATL,RB,62,RB62,0.0,4500.0
zackmoss,IND,RB,65,RB65,0.0,4700.0
evanhull,IND,RB,66,RB66,7.0,4400.0
chaseedmonds,TB,RB,67,RB67,4.4,4100.0
deonjackson,IND,RB,68,RB68,10.1,4900.0
seantucker,TB,RB,69,RB69,4.3,4300.0
chasebrown,CIN,RB,72,RB72,0.0,4000.0
isaiahspiller,LAC,RB,78,RB78,0.9,4000.0
chrisevans,CIN,RB,79,RB79,3.2,4100.0
lataviusmurray,BUF,RB,80,RB80,3.4,4500.0
jamycalhasty,JAC,RB,84,RB84,0.0,4000.0
d'ernestjohnson,JAC,RB,86,RB86,1.4,4000.0
deejaydallas,SEA,RB,92,RB92,2.2,4100.0
trayveonwilliams,CIN,RB,94,RB94,2.8,4300.0
zonovanknight,DET,RB,95,RB95,0.5,4000.0
melvingordon,BAL,RB,97,RB97,0.1,4400.0
ke'shawnvaughn,TB,RB,99,RB99,0.0,4000.0
ameerabdullah,LV,RB,101,RB101,2.9,4000.0
justicehill,BAL,RB,102,RB102,2.0,4900.0
kennymcintosh,SEA,RB,105,RB105,0.0,4000.0
denericprince,KC,RB,111,RB111,0.0,4000.0
craigreynolds,DET,RB,113,RB113,1.6,4000.0
juliuschestnut,TEN,RB,114,RB114,1.3,4000.0
mikeboone,HOU,RB,115,RB115,2.0,4200.0
keatonmitchell,BAL,RB,116,RB116,0.0,4000.0
travishomer,CHI,RB,120,RB120,1.1,4000.0
tyjohnson,BUF,RB,124,RB124,0.3,4000.0
brandonbolden,LV,RB,125,RB125,1.2,4000.0
emanuelwilson,GB,RB,127,RB127,0.0,4000.0
dareogunbowale,HOU,RB,131,RB131,0.0,4000.0
elijahdotson,LAC,RB,132,RB132,1.5,4000.0
patrickricard,BAL,RB,136,RB136,1.0,4000.0
reggiegilliam,BUF,RB,141,RB141,0.9,4000.0
jakobjohnson,LV,RB,142,RB142,0.5,4000.0
snoopconner,JAC,RB,143,RB143,0.0,4000.0
keithsmith,ATL,RB,144,RB144,0.5,4000.0
khariblasingame,CHI,RB,147,RB147,0.3,4000.0
la'micalperine,KC,RB,152,RB152,0.0,4000.0
ja'marrchase,CIN,WR,2,WR2,18.3,7900.0
stefondiggs,BUF,WR,4,WR4,15.9,8000.0
amon-rast.brown,DET,WR,6,WR6,16.8,7800.0
davanteadams,LV,WR,8,WR8,17.0,7600.0
teehiggins,CIN,WR,13,WR13,13.7,6400.0
keenanallen,LAC,WR,15,WR15,15.0,7100.0
dkmetcalf,SEA,WR,16,WR16,15.3,7000.0
calvinridley,JAC,WR,17,WR17,14.6,7200.0
deandrehopkins,TEN,WR,20,WR20,12.6,6700.0
djmoore,CHI,WR,21,WR21,12.4,5500.0
drakelondon,ATL,WR,22,WR22,12.3,5000.0
chrisgodwin,TB,WR,23,WR23,13.9,6000.0
tylerlockett,SEA,WR,25,WR25,13.8,6100.0
christianwatson,GB,WR,26,WR26,6.3,5900.0
mikewilliams,LAC,WR,29,WR29,12.8,5700.0
christiankirk,JAC,WR,30,WR30,12.9,5100.0
mikeevans,TB,WR,31,WR31,13.3,6200.0
michaelpittmanjr.,IND,WR,32,WR32,11.8,6300.0
gabedavis,BUF,WR,39,WR39,10.4,5800.0
jaxonsmith-njigba,SEA,WR,41,WR41,8.0,4500.0
zayflowers,BAL,WR,42,WR42,10.6,5000.0
treylonburks,TEN,WR,43,WR43,9.9,4500.0
skyymoore,KC,WR,46,WR46,10.4,4100.0
jakobimeyers,LV,WR,48,WR48,0.0,5300.0
rashodbateman,BAL,WR,49,WR49,7.5,5100.0
nicocollins,HOU,WR,50,WR50,10.5,4800.0
quentinjohnston,LAC,WR,51,WR51,6.7,3900.0
kadariustoney,KC,WR,52,WR52,8.9,4600.0
romeodoubs,GB,WR,53,WR53,10.1,4800.0
odellbeckhamjr.,BAL,WR,55,WR55,10.4,4700.0
zayjones,JAC,WR,57,WR57,9.4,4700.0
tylerboyd,CIN,WR,58,WR58,8.9,3800.0
darnellmooney,CHI,WR,59,WR59,8.5,4400.0
jamesonwilliams,DET,WR,63,WR63,0.0,3000.0
jaydenreed,GB,WR,68,WR68,9.0,3400.0
alecpierce,IND,WR,72,WR72,7.7,3500.0
hunterrenfrow,LV,WR,74,WR74,8.5,3900.0
marquezvaldes-scantling,KC,WR,76,WR76,9.1,4500.0
rasheerice,KC,WR,79,WR79,4.3,3800.0
robertwoods,HOU,WR,80,WR80,8.1,4600.0
joshuapalmer,LAC,WR,81,WR81,6.9,3400.0
chaseclaypool,CHI,WR,83,WR83,5.7,3200.0
johnmetchie,HOU,WR,85,WR85,2.8,3600.0
joshdowns,IND,WR,88,WR88,4.3,3400.0
marvinjonesjr.,DET,WR,90,WR90,7.2,3600.0
richiejamesjr.,KC,WR,91,WR91,5.0,3400.0
tankdell,HOU,WR,92,WR92,5.5,3200.0
joshreynolds,DET,WR,93,WR93,6.7,3700.0
mackhollins,ATL,WR,94,WR94,6.3,3700.0
khalilshakir,BUF,WR,98,WR98,2.5,3700.0
isaiahmckenzie,IND,WR,104,WR104,4.7,3000.0
nickwestbrook-ikhine,TEN,WR,106,WR106,4.7,3300.0
justynross,KC,WR,107,WR107,3.4,3000.0
devinduvernay,BAL,WR,109,WR109,1.6,3100.0
