player_name,player_position_id,rank_ecr,pos_rank,projected_points,salary
patrickmahomes,QB,1,QB1,23.1,8200.0
jalenhurts,QB,2,QB2,22.6,8000.0
lamarjackson,QB,4,QB4,20.8,7800.0
tuatagovailoa,QB,5,QB5,19.9,7100.0
anthonyrichardson,QB,6,QB6,19.1,7000.0
kirkcousins,QB,7,QB7,18.6,6900.0
jaredgoff,QB,12,QB12,17.3,6300.0
matthewstafford,QB,13,QB13,17.2,5600.0
joeburrow,QB,14,QB14,17.0,6200.0
c.j.stroud,QB,15,QB15,16.8,6000.0
danieljones,QB,16,QB16,16.6,5800.0
russellwilson,QB,18,QB18,16.2,5700.0
joshuadobbs,QB,19,QB19,15.9,5200.0
zachwilson,QB,22,QB22,14.9,4900.0
ryantannehill,QB,23,QB23,14.5,4900.0
bryceyoung,QB,24,QB24,14.1,5100.0
macjones,QB,25,QB25,13.8,5100.0
derekcarr,QB,26,QB26,13.6,5300.0
desmondridder,QB,27,QB27,13.5,4900.0
kennypickett,QB,28,QB28,13.2,5000.0
mitchtrubisky,QB,29,QB29,0.0,5000.0
jameiswinston,QB,30,QB30,0.0,4800.0
andydalton,QB,32,QB32,0.0,4800.0
baileyzappe,QB,33,QB33,0.0,4600.0
ajmccarron,QB,34,QB34,0.0,4000.0
taylorheinicke,QB,35,QB35,0.0,4500.0
brettrypien,QB,39,QB39,0.0,4800.0
bijanrobinson,RB,2,RB2,19.9,7700.0
davidmontgomery,RB,4,RB4,17.4,6600.0
derrickhenry,RB,6,RB6,17.0,7500.0
joemixon,RB,7,RB7,16.3,6400.0
d'andreswift,RB,8,RB8,15.8,6000.0
de'vonachane,RB,9,RB9,15.3,6100.0
alvinkamara,RB,12,RB12,14.8,6300.0
kyrenwilliams,RB,13,RB13,14.3,6700.0
jamesconner,RB,15,RB15,14.2,5800.0
breecehall,RB,16,RB16,14.0,5400.0
isiahpacheco,RB,18,RB18,13.8,5700.0
raheemmostert,RB,19,RB19,13.8,6200.0
rhamondrestevenson,RB,20,RB20,13.4,5600.0
alexandermattison,RB,21,RB21,12.8,5700.0
dameonpierce,RB,22,RB22,12.8,5300.0
jonathantaylor,RB,23,RB23,12.7,6800.0
milessanders,RB,24,RB24,12.6,5200.0
najeeharris,RB,26,RB26,11.3,5400.0
jaylenwarren,RB,27,RB27,10.7,4900.0
gusedwards,RB,28,RB28,10.1,5000.0
jaleelmclaughlin,RB,29,RB29,10.0,5000.0
