TE_Rank,player_name,TE_REC,TE_TGT,TE_YDS,TE_Y/R,TE_LG,TE_20+,TE_TD,TE_ATT,TE_YDS,TE_TD,TE_FL,TE_G,TE_FPTS,TE_FPTS/G,TE_ROST,Position
58,peytonhendershot(dal),1,1,3,3.0,3,0,0,0,0,0,0,1,0.3,0.3,0.1%,TE
59,daltonkincaid(buf),2,2,3,1.5,4,0,0,0,0,0,0,1,0.3,0.3,96.5%,TE
60,treymcbride(ari),1,1,2,2.0,2,0,0,0,0,0,0,1,0.2,0.2,98.1%,TE
61,mattorzech(gb),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
62,mitchellfraboni(den),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
63,mattsokol(pit),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
64,parkerhesse(det),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
65,chrismyarick(jac),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
66,brycenhopkins(fa),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE
67,jodyfortsonjr.(mia),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
68,trevonwesco(fa),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE
69,n'kealharry(min),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
70,hakeembutler(cin),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
71,albertokwuegbunamjr.(phi),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,TE
72,tommysweeney(chi),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
73,fostermoreau(no),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,TE
74,jesperhorsted(car),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
75,tyreejackson(nyg),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
76,irvsmithjr.(kc),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,TE
77,zachgentry(lv),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
78,stephencarlson(chi),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
79,adamtrautman(den),0,2,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,TE
80,josiahdeguara(jac),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE
81,feleipefranks(car),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
82,tylermabry(sea),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
83,daltonkeene(hou),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE
