WR_Rank,player_name,WR_REC,WR_TGT,WR_YDS,WR_Y/R,WR_LG,WR_20+,WR_TD,WR_ATT,WR_YDS,WR_TD,WR_FL,WR_G,WR_FPTS,WR_FPTS/G,WR_ROST,Position
288,jalencoker(car),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
289,anthonygould(ind),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,WR
290,daytonwade(bal),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
291,tahjwashington(mia),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
292,jadonjanke(mia),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
293,devaughnvele(den),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
294,tejhaunpalmer(ari),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
295,ryanflournoy(dal),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,WR
296,ja'lynnpolk(ne),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,13.2%,WR
297,je'quanburton(mia),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
298,brendenrice(lac),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.8%,WR
299,rickypearsall(sf),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,11.6%,WR
300,isaiahwilliams(det),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
301,malikwashington(mia),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.7%,WR
302,lukemccaffrey(was),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,2.9%,WR
303,marcusrosemy-jacksaint(was),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
304,bubmeans(no),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,WR
305,joshuacephus(jac),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
306,jha'quanjackson(ten),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,WR
307,cornellpowell(kc),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
308,jacobharris(phi),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,WR
309,austintrammell(jac),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
310,raceymcmath(dal),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
311,kawaanbaker(ne),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
312,jordanwhittington(lar),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.8%,WR
313,ainiassmith(phi),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,WR
314,simifehoko(lac),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
315,jalenmcmillan(tb),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,2.2%,WR
316,brandonsmith(nyj),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
317,jamesonwilliams(det),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,67.2%,WR
318,erikezukanma(mia),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
319,jalentolbert(dal),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,3.9%,WR
320,josephngata(phi),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
321,djturner(lv),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,WR
322,mikestrachan(car),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
323,michaelbandy(den),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
324,ramelkeyton(lv),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
325,kearisjackson(ten),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
326,jacobcopeland(pit),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
327,jermaineburton(cin),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,5.1%,WR
328,malikcunningham(bal),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
329,kayshonboutte(ne),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,WR
330,brianthomasjr.(jac),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,61.0%,WR
331,javonbaker(ne),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.5%,WR
332,tyquanthornton(ne),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,WR
333,rakimjarrett(tb),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,WR
334,davidbell(cle),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,WR
335,marvinharrisonjr.(ari),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,98.9%,WR
336,troyfranklin(den),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,3.1%,WR
337,parkerwashington(jac),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,WR
338,corneliusjohnson(lac),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
339,xavierworthy(kc),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,83.8%,WR
340,kevinaustinjr.(no),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
341,kyricmcgowan(mia),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
342,jontrekirklin(sf),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
343,devonallen(fa),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,WR
344,darekeyoung(sea),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
345,montrellwashington(kc),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,WR
346,samsonnacua(no),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
347,justinhall(min),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
348,irvincharles(nyj),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
349,ethanfernea(ind),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
350,tyreikmcallister(lv),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
351,raleighwebb(tb),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
352,lancemccutcheon(nyj),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
353,kadendavis(det),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
354,kwamielassiterii(cin),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
355,kendricpryor(cin),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
356,mikeharleyjr.(mia),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
357,dennishouston(nyg),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
358,dannygray(sf),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,WR
359,jalennailor(min),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.7%,WR
360,velusjonesjr.(chi),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,WR
361,jalenvirgil(den),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
362,xavierweaver(ari),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
363,christianwatson(gb),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,83.7%,WR
364,michaelwoodsii(cle),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
365,kylephilips(ten),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
366,taymartin(sf),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
367,bomelton(gb),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,WR
368,justinshorter(buf),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
369,mitchelltinsley(was),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
370,adonaimitchell(ind),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,21.7%,WR
371,a.t.perry(no),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.6%,WR
372,braylonsanders(mia),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
373,johnnyjohnsoniii(hou),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
374,britaincovey(phi),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,WR
375,patrickedwards(det),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
376,marvinjonesjr.(fa),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,WR
377,jordanmatthews(car),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
378,odellbeckhamjr.(mia),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,5.9%,WR
379,martavisbryant(was),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
380,kennymckinley(den),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
381,mikefurrey(was),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
382,natehughes(jac),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
383,mauricepurify(cin),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
384,markomitchell(min),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
385,bobbywade(was),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
386,chrishenry(cin),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
387,demarioballard(det),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
388,rodharper(phi),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
389,samgiguere(nyg),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
390,justinhardeesr.(cle),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,WR
391,davidmoore(car),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,WR
392,gregward(ind),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
393,zachpascal(ari),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,WR
394,johnross(phi),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
395,zayjones(ari),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,2.9%,WR
396,cooperkupp(lar),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,97.5%,WR
397,trenttaylor(sf),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
398,timpatrick(den),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.6%,WR
399,joshreynolds(den),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.8%,WR
400,noahbrown(hou),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.7%,WR
401,keithkirkwood(bal),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,WR
402,malikturner(sf),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
403,n'kealharry(min),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
404,kelvinharmon(dal),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
405,hakeembutler(cin),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
406,deontayburnett(dal),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
407,tre'quansmith(det),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
408,cedrickwilsonjr.(no),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,WR
409,deoncain(buf),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
410,dantepettis(chi),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,WR
411,anthonymiller(bal),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
412,russellgage(bal),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
413,byronpringle(was),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,WR
414,equanimeousst.brown(no),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,WR
415,dauricefountain(det),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
416,ray-raymccloudiii(atl),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.7%,WR
417,chrisconley(sf),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,WR
418,jamisoncrowder(was),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,WR
419,tymontgomeryii(fa),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,WR
420,phillipdorsettii(den),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
421,damierebyrd(buf),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
422,demarcusrobinson(lar),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,5.4%,WR
423,jakeemgrantsr.(atl),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
424,laquontreadwell(ind),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
425,sterlingshepard(tb),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,WR
426,kadariustoney(kc),1,1,-1,-1.0,0,0,0,0,0,0,0,1,-0.1,-0.1,0.8%,WR
