WR_Rank,player_name,WR_REC,WR_TGT,WR_YDS,WR_Y/R,WR_LG,WR_20+,WR_TD,WR_ATT,WR_YDS,WR_TD,WR_FL,WR_G,WR_FPTS,WR_FPTS/G,WR_ROST,Position
90,hunterrenfrow(fa),2,2,17,8.5,10,0,0,0,0,0,0,1,1.7,1.7,0.1%,WR
91,brandincooks(dal),2,7,17,8.5,12,0,0,0,0,0,0,1,1.7,1.7,28.5%,WR
92,deandrecarter(chi),1,1,16,16.0,16,0,0,0,0,0,0,1,1.6,1.6,0.1%,WR
93,khadarelhodge(atl),1,1,15,15.0,15,0,0,0,0,0,0,1,1.5,1.5,0.1%,WR
94,chaseclaypool(fa),1,4,15,15.0,15,0,0,0,0,0,0,1,1.5,1.5,0.2%,WR
95,rivercracraft(mia),1,1,13,13.0,13,0,0,0,0,0,0,1,1.3,1.3,0.1%,WR
96,johnmetchieiii(hou),2,2,13,6.5,11,0,0,0,0,0,0,1,1.3,1.3,0.3%,WR
97,deonteharty(bal),2,3,15,7.5,8,0,0,2,-2,0,0,1,1.3,1.3,0.1%,WR
98,randallcobb(fa),1,2,12,12.0,12,0,0,0,0,0,0,1,1.2,1.2,0.0%,WR
99,brandonjohnson(den),2,3,12,6.0,8,0,0,0,0,0,0,1,1.2,1.2,0.0%,WR
100,timjones(jac),2,3,11,5.5,6,0,0,0,0,0,0,1,1.1,1.1,0.0%,WR
101,quentinjohnston(lac),2,3,10,5.0,7,0,0,0,0,0,0,1,1.0,1.0,10.2%,WR
102,jaxonsmith-njigba(sea),1,3,10,10.0,10,0,0,0,0,0,0,1,1.0,1.0,78.9%,WR
103,treypalmer(tb),1,1,8,8.0,8,0,0,0,0,0,0,1,0.8,0.8,1.0%,WR
104,laviskashenaultjr.(sea),1,1,0,0.0,0,0,0,2,7,0,0,1,0.7,0.7,0.1%,WR
105,tylerscott(chi),1,3,6,6.0,6,0,0,0,0,0,0,1,0.6,0.6,0.2%,WR
106,deventhompkins(fa),2,4,6,3.0,5,0,0,0,0,0,0,1,0.6,0.6,0.0%,WR
107,rashodbateman(bal),1,3,6,6.0,6,0,0,0,0,0,0,1,0.6,0.6,9.7%,WR
108,charliejones(cin),1,2,6,6.0,6,0,0,0,0,0,0,1,0.6,0.6,0.1%,WR
109,treylonburks(ten),1,6,5,5.0,5,0,0,0,0,0,0,1,0.5,0.5,1.4%,WR
110,brandonpowell(min),1,1,5,5.0,5,0,0,0,0,0,0,1,0.5,0.5,0.2%,WR
111,jujusmith-schuster(fa),1,3,5,5.0,5,0,0,0,0,0,0,1,0.5,0.5,0.7%,WR
112,khalilshakir(buf),1,1,5,5.0,5,0,0,0,0,0,0,1,0.5,0.5,38.3%,WR
113,deriusdavis(lac),1,1,3,3.0,3,0,0,0,0,0,0,1,0.3,0.3,0.2%,WR
114,isaiahmckenzie(nyg),1,1,3,3.0,3,0,0,0,0,0,0,1,0.3,0.3,0.1%,WR
115,benskowronek(hou),1,1,3,3.0,3,0,0,0,0,0,0,1,0.3,0.3,0.0%,WR
116,marquisegoodwin(fa),0,0,0,0.0,0,0,0,1,1,0,0,1,0.1,0.1,0.0%,WR
117,deeeskridge(sea),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,WR
118,jaelondarden(cle),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
119,chrisblair(atl),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
120,jalenguyton(lv),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,WR
121,stevensimsjr.(hou),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
122,d.j.montgomery(ind),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
123,tomkennedy(det),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
124,maliktaylor(nyj),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
125,alexbachman(lv),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
126,nsimbawebster(chi),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
127,isaiahhodgins(nyg),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,WR
128,denzelmims(jac),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
129,jamesprocheii(cle),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
130,quintezcephus(hou),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
